source,geo_id,geo_level,country_code,metric,x,n,share,lo,hi
claude_ai,MX-CMX,subregion,MX,success_rate,2231.0,3106.0,0.7182871860914359,0.7022049653153677,0.7338301047666581
claude_ai,MX-CMX,subregion,MX,work_share,1382.0,3106.0,0.4449452672247263,0.4275465536815626,0.46247999943934237
claude_ai,MX-GUA,subregion,MX,automation_share,133.0,268.0,0.4962686567164179,0.43688448115179673,0.5557582931697199
claude_ai,MX-GUA,subregion,MX,coursework_share,81.0,288.0,0.28125,0.23246485347612605,0.33579409247263514
claude_ai,MX-GUA,subregion,MX,success_rate,207.0,288.0,0.71875,0.6642059075273649,0.7675351465238739
claude_ai,MX-GUA,subregion,MX,work_share,119.0,288.0,0.4131944444444444,0.3578309537928322,0.4708432311074698
claude_ai,MX-JAL,subregion,MX,automation_share,353.0,780.0,0.45256410256410257,0.4179501571393365,0.4876430137257975
claude_ai,MX-JAL,subregion,MX,coursework_share,188.0,810.0,0.23209876543209876,0.20433063608523047,0.26239605864258886
claude_ai,MX-JAL,subregion,MX,success_rate,590.0,810.0,0.7283950617283951,0.696738998528514,0.7578949253210411
claude_ai,MX-JAL,subregion,MX,work_share,329.0,810.0,0.40617283950617283,0.37287076770413785,0.4403607014171261
claude_ai,MX-MEX,subregion,MX,automation_share,255.0,553.0,0.46112115732368897,0.41998441235441925,0.5027943455544727
claude_ai,MX-MEX,subregion,MX,coursework_share,146.0,567.0,0.25749559082892415,0.22322036204404544,0.29503478964777247
claude_ai,MX-MEX,subregion,MX,success_rate,413.0,567.0,0.7283950617283951,0.6903376249904746,0.7633784321434134
claude_ai,MX-MEX,subregion,MX,work_share,225.0,567.0,0.3968253968253968,0.35737907323001744,0.4376603913079561
claude_ai,MX-NLE,subregion,MX,automation_share,299.0,719.0,0.41585535465924894,0.380369051086269,0.45223604524465605
claude_ai,MX-NLE,subregion,MX,coursework_share,160.0,743.0,0.21534320323014805,0.18728973718539393,0.2463251016237994
claude_ai,MX-NLE,subregion,MX,success_rate,558.0,743.0,0.7510094212651414,0.7186775454983797,0.7807590150788565
claude_ai,MX-NLE,subregion,MX,work_share,289.0,743.0,0.38896366083445494,0.35456544052389505,0.4245041774513222
claude_ai,MX-PUE,subregion,MX,automation_share,223.0,479.0,0.46555323590814196,0.4213335666423918,0.5103210380975477
claude_ai,MX-PUE,subregion,MX,coursework_share,189.0,492.0,0.38414634146341464,0.3422219151345899,0.4278659516357658
claude_ai,MX-PUE,subregion,MX,success_rate,367.0,492.0,0.7459349593495935,0.7056637858693551,0.7823953039690126
claude_ai,MX-PUE,subregion,MX,work_share,157.0,492.0,0.31910569105691056,0.2794541901232158,0.3615601983427782
claude_ai,MX-QUE,subregion,MX,automation_share,133.0,273.0,0.48717948717948717,0.42847715161918665,0.5462376311302267
claude_ai,MX-QUE,subregion,MX,coursework_share,72.0,295.0,0.2440677966101695,0.1985464303022991,0.29616916484911215
claude_ai,MX-QUE,subregion,MX,success_rate,218.0,295.0,0.7389830508474576,0.6860210925844152,0.7858007688967171
claude_ai,MX-QUE,subregion,MX,work_share,114.0,295.0,0.3864406779661017,0.3326727730057892,0.4431281864322542
claude_ai,MX-ROO,subregion,MX,automation_share,123.0,278.0,0.44244604316546765,0.38523868600001593,0.5012223616238975
claude_ai,MX-ROO,subregion,MX,coursework_share,52.0,294.0,0.17687074829931973,0.13750488405197145,0.22457213943970997
claude_ai,MX-ROO,subregion,MX,success_rate,214.0,294.0,0.7278911564625851,0.67432258305149,0.7755809898543767
claude_ai,MX-ROO,subregion,MX,work_share,135.0,294.0,0.45918367346938777,0.4031122303641155,0.5163080252348338
claude_ai,MX-VER,subregion,MX,automation_share,120.0,235.0,0.5106382978723404,0.44706936483569176,0.5738650117553209
claude_ai,MX-VER,subregion,MX,coursework_share,66.0,256.0,0.2578125,0.2080850910625006,0.31470109867771034
claude_ai,MX-VER,subregion,MX,success_rate,182.0,256.0,0.7109375,0.652610245364155,0.7630275893782419
claude_ai,MX-VER,subregion,MX,work_share,109.0,256.0,0.42578125,0.366746480458491,0.48701057768770256
claude_ai,MX-YUC,subregion,MX,automation_share,135.0,290.0,0.46551724137931033,0.4089322332455284,0.5230038847173469
claude_ai,MX-YUC,subregion,MX,coursework_share,55.0,317.0,0.17350157728706625,0.13579036683991477,0.21903145177712238
claude_ai,MX-YUC,subregion,MX,success_rate,229.0,317.0,0.722397476340694,0.6706606648323999,0.7688085311820819
claude_ai,MX-YUC,subregion,MX,work_share,138.0,317.0,0.4353312302839117,0.3818477949283174,0.49036328991853545
claude_ai,MY,country,MY,automation_share,1674.0,3794.0,0.441222983658408,0.4254903680471421,0.45707450774967895
claude_ai,MY,country,MY,coursework_share,707.0,3920.0,0.18035714285714285,0.1686356367428286,0.1927045356025586
claude_ai,MY,country,MY,success_rate,2795.0,3921.0,0.7128283601122163,0.6984635653225282,0.7267765258954204
claude_ai,MY,country,MY,work_share,1769.0,3920.0,0.45127551020408163,0.43575278975769854,0.46689363715209314
claude_ai,MY-01,subregion,MY,automation_share,109.0,233.0,0.4678111587982833,0.40478409229753226,0.531882439257735
claude_ai,MY-01,subregion,MY,coursework_share,54.0,256.0,0.2109375,0.16542135147729925,0.26500087498682345
claude_ai,MY-01,subregion,MY,success_rate,181.0,256.0,0.70703125,0.6485467873976802,0.7593940504050426
claude_ai,MY-01,subregion,MY,work_share,100.0,256.0,0.390625,0.3328968771032124,0.45158720858591506
claude_ai,MY-07,subregion,MY,automation_share,97.0,207.0,0.46859903381642515,0.4018106463368995,0.5365316921769422
claude_ai,MY-07,subregion,MY,coursework_share,34.0,239.0,0.14225941422594143,0.10362042312541617,0.19221686340209804
claude_ai,MY-07,subregion,MY,success_rate,176.0,239.0,0.7364016736401674,0.6771214255615017,0.7882024728150533
claude_ai,MY-07,subregion,MY,work_share,111.0,239.0,0.46443514644351463,0.40226699694602663,0.527728522767235
claude_ai,MY-10,subregion,MY,automation_share,738.0,1673.0,0.4411237298266587,0.41749266859782846,0.4650245590282037
claude_ai,MY-10,subregion,MY,coursework_share,331.0,1713.0,0.1932282545242265,0.17522531287824844,0.21260405938300153
claude_ai,MY-10,subregion,MY,success_rate,1231.0,1713.0,0.7186223000583771,0.6968565735407973,0.7394096492720703
claude_ai,MY-10,subregion,MY,work_share,771.0,1713.0,0.4500875656742557,0.4266655001522901,0.47373299904530625
claude_ai,MY-14,subregion,MY,automation_share,419.0,988.0,0.4240890688259109,0.39362488429917253,0.45514128965441036
claude_ai,MY-14,subregion,MY,coursework_share,147.0,1017.0,0.14454277286135694,0.12426778788999253,0.1674930494426554
claude_ai,MY-14,subregion,MY,success_rate,723.0,1018.0,0.7102161100196464,0.6815984536364883,0.7372531570241072
claude_ai,MY-14,subregion,MY,work_share,497.0,1017.0,0.4886922320550639,0.45807026142682694,0.5193993087787759
claude_ai,MZ,country,MZ,automation_share,112.0,207.0,0.5410628019323671,0.47304713017857675,0.6075821194571689
claude_ai,MZ,country,MZ,coursework_share,37.0,225.0,0.16444444444444445,0.1217212086464685,0.2184337282181575
