geo_id,geo_level,conversations,population,share_of_known,per_100k,usage_index,usage_index_lo,usage_index_hi
JM,country,368.0,2839175,0.0004569231934461321,12.961511706745798,0.9230442164157796,0.8287348846877727,1.0173535481437865
JO,country,682.0,11552876,0.0008467978748104948,5.903291959508611,0.4203984553902208,0.3888465932483893,0.4519503175320522
JP,country,29128.0,123975371,0.03616646407255145,23.49498917813281,1.6731778180117602,1.6539627097050789,1.6923929263184414
KE,country,3338.0,56432944,0.004144591357943448,5.9149846940467965,0.42123114460377453,0.4069411067456556,0.4355211824618935
KG,country,450.0,7221868,0.0005587376006814115,6.231074841024511,0.44374126445977435,0.4027416633867125,0.48474086553283613
KH,country,467.0,17638801,0.0005798454655960427,2.64757224711589,0.1885448476639778,0.1714442101960548,0.20564548513190084
KR,country,29075.0,51751065,0.03610065719958231,56.18241866133576,4.00098829387363,3.954998285317191,4.046978302430069
KW,country,455.0,4897263,0.0005649457962445384,9.290903919189146,0.6616446693805724,0.600848643538338,0.7224406952228069
KZ,country,2026.0,20592571,0.002515560842178977,9.838499524901481,0.7006412747321227,0.6701319869936888,0.7311505624705564
LB,country,714.0,5805962,0.0008865303264145063,12.297703636365515,0.8757716286160288,0.8115327668452115,0.9400104903868459
LK,country,2451.0,21916000,0.003043257465044755,11.183610147837197,0.7964323065987261,0.764901630428004,0.8279629827694482
LT,country,1147.0,2888278,0.0014241600621812869,39.712243766008676,2.8280772920978245,2.664408590517313,2.991745993678336
LU,country,520.0,677012,0.0006456523385651867,76.80809202791087,5.469829964617146,4.999688857615237,5.939971071619054
LV,country,713.0,1866124,0.0008852886873018809,38.207536047979666,2.720920674262884,2.521198085354577,2.920643263171191
MA,country,4325.0,38081173,0.0053700891621046775,11.357318221263824,0.8088027951766694,0.7846978771490183,0.8329077132043206
MD,country,631.0,2402306,0.0007834742800666016,26.266429006129943,1.8705438014136584,1.7245920623885618,2.016495540438755
MG,country,515.0,31964956,0.0006394441430020599,1.6111393990343674,0.1147360691997278,0.10482655363992126,0.12464558475953436
MK,country,408.0,1824359,0.0005065887579511465,22.364019362417157,1.5926366611655385,1.4380960240285905,1.7471772983024865
MN,country,243.0,3524788,0.00030171830436796223,6.894031641051887,0.4909532296875881,0.4292236875246431,0.552682771850533
MT,country,340.0,568847,0.00042215729829262204,59.77002603512016,4.25647702945212,3.8040308692122355,4.708923189692005
MU,country,319.0,1245779,0.0003960828769274895,25.60646792087521,1.8235451737391704,1.6234312736505847,2.0236590738277562
MX,country,9757.0,130861007,0.012114672821885627,7.456002535575781,0.5309735603187993,0.5204376803336241,0.5415094403039744
MY,country,3921.0,35557673,0.004868466960604032,11.027155798412343,0.7852905288773401,0.7607101818605666,0.8098708758941137
