source,geo_id,metric,parent_id,x,n,share,x_rest,n_rest,share_rest,diff,diff_lo,diff_hi
claude_ai,AU-QLD,coursework_share,AU,170.0,2811.0,0.06047669868374244,921.0,13092.0,0.07034830430797434,-0.0098716056242319,-0.019712398366316657,-3.081288214714338e-05
claude_ai,AU-QLD,success_rate,AU,2020.0,2811.0,0.7186054784774102,9338.0,13095.0,0.7130966017563956,0.005508876721014633,-0.01283146105101091,0.023849214493040175
claude_ai,AU-QLD,work_share,AU,1349.0,2811.0,0.479900391319815,5960.0,13092.0,0.45523984112435073,0.02466055019546426,0.004316618503198616,0.0450044818877299
claude_ai,AU-SA,automation_share,AU,277.0,710.0,0.3901408450704225,5918.0,14722.0,0.4019834261649232,-0.011842581094500704,-0.04858632672174708,0.02490116453274567
claude_ai,AU-SA,coursework_share,AU,56.0,727.0,0.07702888583218707,1035.0,15176.0,0.06819978914074855,0.008829096691438526,-0.010964024894925432,0.028622218277802484
claude_ai,AU-SA,success_rate,AU,506.0,727.0,0.6960110041265475,10852.0,15179.0,0.7149351077146057,-0.018924103588058183,-0.05312359541268199,0.015275388236565622
claude_ai,AU-SA,work_share,AU,307.0,727.0,0.422283356258597,7002.0,15176.0,0.4613863995782815,-0.039103043319684505,-0.07587308942410198,-0.0023329972152670297
claude_ai,AU-VIC,automation_share,AU,1933.0,4769.0,0.40532606416439504,4262.0,10663.0,0.3996998968395386,0.005626167324856435,-0.01112518674329506,0.02237752139300793
claude_ai,AU-VIC,coursework_share,AU,340.0,4906.0,0.06930289441500204,751.0,10997.0,0.06829135218696009,0.0010115422280419506,-0.007516840210844972,0.009539924666928873
claude_ai,AU-VIC,success_rate,AU,3536.0,4907.0,0.7206032198899531,7822.0,10999.0,0.7111555595963269,0.009447660293626203,-0.005697146797925878,0.024592467385178285
claude_ai,AU-VIC,work_share,AU,2270.0,4906.0,0.4626987362413371,5039.0,10997.0,0.45821587705737926,0.004482859183957855,-0.01229193705011556,0.02125765541803127
claude_ai,AU-WA,automation_share,AU,500.0,1157.0,0.43215211754537597,5695.0,14275.0,0.3989492119089317,0.03320290563644429,0.0035495120807332615,0.06285629919215532
claude_ai,AU-WA,coursework_share,AU,75.0,1206.0,0.06218905472636816,1016.0,14697.0,0.06912975437164047,-0.006940699645272309,-0.021174404938737193,0.007293005648192574
claude_ai,AU-WA,success_rate,AU,839.0,1206.0,0.6956882255389718,10519.0,14700.0,0.715578231292517,-0.01989000575354516,-0.046863291398506396,0.007083279891416081
claude_ai,AU-WA,work_share,AU,542.0,1206.0,0.4494195688225539,6767.0,14697.0,0.4604341021977274,-0.011014533375173496,-0.04022308648130542,0.018194019730958428
claude_ai,AZ,automation_share,GLOBAL,322.0,636.0,0.5062893081761006,441247.0,968874.0,0.45542248011609354,0.050866828060007085,0.011997722806671315,0.08973593331334286
claude_ai,AZ,coursework_share,GLOBAL,71.0,657.0,0.1080669710806697,124377.0,999045.0,0.12449589357836734,-0.01642892249769763,-0.040178036969468166,0.007320191974072902
claude_ai,AZ,success_rate,GLOBAL,456.0,657.0,0.6940639269406392,698929.0,999343.0,0.6993884982433459,-0.005324571302706693,-0.040572189221766676,0.02992304661635329
